,index,method,acc,fairness,task
0,15,PlugIn,0.8011264681569645,0.4793821744093624,NNcensus
1,16,SCross,0.8050209596060076,0.3744093792184635,NNcensus
2,17,AUC,0.8158970209779147,0.5479906149673692,NNcensus
3,18,DPWA,0.7515990249807529,0.01626299154845835,NNcensus
4,19,IFAC,0.737327974056182,0.02381022473001718,NNcensus
5,15,PlugIn,0.8053239718049306,0.3748904604996531,XGBcensus
6,16,SCross,0.8071463146719845,0.3787028693721782,XGBcensus
7,17,AUC,0.8142323952022753,0.4345146143118432,XGBcensus
8,18,DPWA,0.7545643894767613,0.01162601282523478,XGBcensus
9,19,IFAC,0.7425970343123564,0.01400521303752803,XGBcensus
10,15,PlugIn,0.803210067977316,0.3755442664726187,RFcensus
11,16,SCross,0.8013845621322258,0.3771547739911621,RFcensus
12,17,AUC,0.8133465094035467,0.4312512720248241,RFcensus
13,18,DPWA,0.7485779198360148,0.01730842338085318,RFcensus
14,19,IFAC,0.7348157762086703,0.01970863174833765,RFcensus
15,15,PlugIn,0.7873536952521342,0.4650210277373799,NNincome
16,16,SCross,0.7938570083547012,0.3685109984981885,NNincome
17,17,AUC,0.7913311480714609,0.4007638457365211,NNincome
18,18,DPWA,0.7593602555966719,0.0856755152650296,NNincome
19,19,IFAC,0.7402258777550206,0.05232560545593462,NNincome
20,15,PlugIn,0.8007944659035846,0.4013062837606503,XGBincome
21,16,SCross,0.7898273211883733,0.38525660620042,XGBincome
22,17,AUC,0.7959696890807844,0.3869148445972896,XGBincome
23,18,DPWA,0.7589612701556363,0.09977224719725075,XGBincome
24,19,IFAC,0.7240258465506593,0.05486489329679067,XGBincome
25,15,PlugIn,0.7805729832079885,0.3604906718094593,RFincome
26,16,SCross,0.778734934264675,0.3504130554063954,RFincome
27,17,AUC,0.7760914220210193,0.3642218975879318,RFincome
28,18,DPWA,0.7342433786150901,0.1009958554104651,RFincome
29,19,IFAC,0.7070671392579679,0.0622200996538834,RFincome
30,15,PlugIn,0.7992571676406243,0.1193942470947994,NNmortgage
31,16,SCross,0.795373299181593,0.06963637530574962,NNmortgage
32,17,AUC,0.7923974935268993,0.08947906233630834,NNmortgage
33,18,DPWA,0.7967869347519352,7.102272727272727e-05,NNmortgage
34,19,IFAC,0.7885056885107767,0.01665898585507569,NNmortgage
35,15,PlugIn,0.7800463349781886,0.0957857329732842,XGBmortgage
36,16,SCross,0.7924171047628538,0.07873253069025413,XGBmortgage
37,17,AUC,0.7784372647737372,0.1049699092844873,XGBmortgage
38,18,DPWA,0.7856034716595922,0.008094215978478677,XGBmortgage
39,19,IFAC,0.7716543519817013,0.01074660259981796,XGBmortgage
40,15,PlugIn,0.7700372756558251,0.09725220047074404,RFmortgage
41,16,SCross,0.7810356242356602,0.09477190202887115,RFmortgage
42,17,AUC,0.7634913457998777,0.1082406904019391,RFmortgage
43,18,DPWA,0.7670628475357631,0.01238763882618718,RFmortgage
44,19,IFAC,0.7575645505960352,0.01599070216601318,RFmortgage
45,15,PlugIn,0.6839243038029721,0.1367950476418769,NNoulad
46,16,SCross,0.6875740311094383,0.150022290488161,NNoulad
47,17,AUC,0.6834327815046382,0.09234030390115316,NNoulad
48,18,DPWA,0.6834401596931856,0.0343529558131026,NNoulad
49,19,IFAC,0.6796538642483145,0.01865334257830923,NNoulad
50,15,PlugIn,0.6832549336577677,0.1354249974604904,XGBoulad
51,16,SCross,0.6772788400964029,0.1334733006386011,XGBoulad
52,17,AUC,0.6766589819402951,0.1206619970377763,XGBoulad
53,18,DPWA,0.6787974777612951,0.0292431360328415,XGBoulad
54,19,IFAC,0.6728373936903491,0.01814523541822611,XGBoulad
55,15,PlugIn,0.6730402152220966,0.1757361635797484,RFoulad
56,16,SCross,0.6735010447258404,0.1077414125959069,RFoulad
57,17,AUC,0.6664234594642353,0.1675152384352418,RFoulad
58,18,DPWA,0.6693720638959347,0.01327813257302004,RFoulad
59,19,IFAC,0.6658400815194451,0.0200990998482806,RFoulad
60,15,PlugIn,0.6225330394878065,0.1475594400404971,NNrecidivism
61,16,SCross,0.6239645314014336,0.1748270483324797,NNrecidivism
62,17,AUC,0.6257729076591241,0.1632243375504162,NNrecidivism
63,18,DPWA,0.6275585454317713,0.03567678754147045,NNrecidivism
64,19,IFAC,0.6153044721421816,0.04809310328764334,NNrecidivism
65,15,PlugIn,0.6219154250926484,0.1719651299841492,XGBrecidivism
66,16,SCross,0.624662182983098,0.1849062376568817,XGBrecidivism
67,17,AUC,0.6223552630875917,0.1435098986462732,XGBrecidivism
68,18,DPWA,0.6262479209165536,0.04319193407310734,XGBrecidivism
69,19,IFAC,0.6107349751674809,0.0513620877674562,XGBrecidivism
70,15,PlugIn,0.6147587601453519,0.1749566135824871,RFrecidivism
71,16,SCross,0.6153615921849211,0.1533898800776098,RFrecidivism
72,17,AUC,0.6198242174542062,0.1389507109731848,RFrecidivism
73,18,DPWA,0.6175689365467306,0.04674353144369271,RFrecidivism
74,19,IFAC,0.608868094614784,0.04710575767560828,RFrecidivism
